abandon,버리다
excess,과잉
exchange,교환
excite,일으키다
exclude,들어오지 못하게 하다
exclusive,독점적인
excuse,변명
executive,경영진
exercise,운동
exhaust,배기가스
exhibit,전시하다
exist,존재하다
exit,출구
exotic,이국적인
expand,확장하다
expect,예상하다
expense,비용
expensive,값비싼
experience,경험
experiment,실험
expert,전문가
expertise,전문적 지식
explain,설명하다
explicit,명백한
explode,터지다
explore,탐구하다
export,내보내다
expose,폭로하다
express,표현하다
extend,연장하다
extent,정도
external,외부
extinct,멸종된
extra,추가의
extract,발췌
extraordinary,기이한
extreme,극심한
eye,눈
eyebrow,눈썹
fabric,구조
face,얼굴
facilitate,가능하게 하다
facility,시설
fact,사실
factor,요인
factory,공장
faculty,학부
fade,바래다
fail,실패하다
faint,희미한
fair,공정한
faith,믿음
fall,떨어지다
false,거짓
fame,명성
familiar,친숙한
family,가족
famous,유명한
fan,팬
fancy,팬시한
fantastic,환상적인
far,멀리
fare,요금
farm,농장
fascinate,홀리다
fast,빠른
fasten,묶다
fat,지방
fatal,치명적인
fate,운명
father,아버지
fault,잘못
favor,호의
favorite,가장 좋아하는
fear,두려움
feature,특징
federal,연방
fee,요금
feed,밥을 먹이다
feel,느끼다
fellow,사람
female,여성
ferry,나룻배
fertile,비옥한
fever,발열
few,약간의
fiber,섬유
field,필드
fierce,사나운
fight,싸움
figure,수치
file,파일
fill,채우다
filter,필터
final,결정적인
finance,재원
find,찾다
fine,괜찮은
finger,손가락
finish,마치다
finite,한정된
fire,불
firm,단단한
fish,물고기
fist,주먹
fit,맞다
fix,고치다
flag,깃발
flame,불꽃
flash,플래시
flat,평평한
flavor,맛
flaw,결함
flee,서두르다
flesh,육체
flexible,유연한
flight,비행
flip,튀기다
float,뜨다
flock,대군
flood,홍수
floor,바닥
flourish,융성
flow,흐름
flower,꽃
fluid,체액
flush,플러시
fly,파리
focus,집중하다
fog,안개
fold,겹
folk,사람들
follow,따르다
fond,다정한
food,음식
fool,바보
foot,발
football,축구
for,~을 위한
forbid,금지하다
force,힘
forecast,예측
forehead,이마
foreign,외국의
forest,숲
forever,영원히
forget,잊다
forgive,용서하다
form,형태
formal,공식적인
format,체재
formation,형성
former,이전의
formula,공식
forth,앞으로
fortunate,운이 좋은
fortune,행운
forum,법정
forward,앞으로
foster,기르다
foundation,기반
fountain,분수
fox,여우
fraction,분수
frame,액자
framework,뼈대
frankly,솔직히
free,무료
freeze,꼭 매달리게 하다
frequent,잦은
fresh,신선한
friend,친구
fright,공포
frog,개구리
from,~에서
front,앞쪽
frost,서리
frown,찌푸린 얼굴
fruit,과일
frustrate,좌절시키다
fry,튀김
fuel,연료
fulfil,다하다
full,가득한
fun,재미있는
function,기능
fund,축적
fundamental,근본적인
funeral,장례식
fur,털
furious,맹렬한
furnish,주다
furniture,가구
furthermore,뿐만 아니라
fuse,퓨즈
future,미래
gain,얻다
gamble,도박
gang,가다
gap,갭
garage,차고
garden,정원
gasoline,가솔린
gate,문
gather,모으다
gaze,시선
gear,기어
gender,성별
gene,유전자
general,일반적인
generate,생성하다
generation,세대
generous,관대한
genius,천재
genre,장르
gentle,온화한
gentleman,신사
genuine,진실한
geography,지리학
geology,지질학
gesture,몸짓
get,얻다
ghost,귀신
giant,거대한
gift,선물
giraffe,기린
girl,소녀
give,주다
glad,기쁜
glance,섬광
glare,섬광
glass,유리
glimpse,일견
global,글로벌
glory,영광
glove,장갑
glow,불타는 듯한 빛깔
glue,접착제
go,가다
goal,목표
goat,염소
god,하나님
gold,금
good,좋은
goodbye,안녕히 가세요
goods,상품
gorgeous,아주 멋진
govern,통치하다
grab,붙잡다
grace,우아함
grade,등급
gradual,점진적인
graduate,졸업하다
grain,곡물
grand,멋진
grandfather,할아버지
grant,승인하다
grape,포도
graphic,그래픽
grasp,파악
grass,잔디
grateful,고마워하는
grave,무덤
great,엄청난
greed,탐욕
green,녹색
greet,환영하다
grey,회색
grief,고통
grip,꽉 붙잡음
grocery,식료품점
gross,역겨운
ground,지면
group,그룹
grow,자라다
guarantee,보장하다
guardian,보호자
guess,추측하다
guest,손님
guide,가이드
guideline,지침
guilty,죄책감이 드는
gulf,만
gun,총
guy,남자
gymnasium,연무장
habit,습관
habitat,서식지
hair,머리카락
half,반
hall,홀
halt,정지
hammer,망치
hand,손
handicap,핸디캡
handle,핸들
handsome,멋있는
hang,걸다
happen,일어나다
happy,행복하다
harbor,항구
hard,딱딱한
hardly,거의 ~ 아니다
harm,피해
harsh,가혹한
harvest,수확하다
haste,서두름
hat,모자
hate,싫어하다
haunt,나타나다
have,가지다
hazard,위험
he,그
head,머리
headache,두통
headquarters,본부
heal,치유하다
health,건강
hear,듣다
heart,마음
heat,열
heaven,천국
heavy,무거운
heel,힐
height,키
heir,후계자
helicopter,헬리콥터
hell,지옥
hello,안녕하세요
help,돕다
hence,따라서
here,여기
heritage,유산
hero,영웅
hesitate,망설이다
hide,숨다
high,높은
highway,고속도로
hill,언덕
hip,잘 알고 있기
hire,고용하다
history,역사
hit,때리다
hobby,취미
hold,잡고 있다
hole,구멍
holiday,휴일
holy,거룩한
home,집
homework,숙제
honest,솔직한
honey,꿀
honor,명예
hook,훅
hope,희망
horizon,수평선
horn,뿔
horror,공포
horse,말
hospital,병원
host,주인
hostage,인질
hostile,적의
hot,더운
hour,시간
house,집
household,가정
how,어떻게
however,하지만
hug,껴안다
huge,거대한
human,인간
humor,기분
hundred,백
hungry,배고픈
hunt,사냥
hurry,서두르다
hurt,아프다
husband,남편
hut,오두막
hypothesis,가설
I,나
ice,얼음
idea,아이디어
ideal,이상적인
identical,동일한
identify,식별하다
ideology,관념론
if,만약에
ignore,무시하다
ill,아픈
illusion,환각
illustrate,설명하다
imagine,상상하다
imitate,본뜨다
immediate,즉각적인
immense,엄청난
immigrate,이민하다
immune,면역성 있는
impact,영향
imperial,장엄한
implement,구현하다
imply,암시하다
import,수입
important,중요한
impose,부과하다
impress,감탄시키다
improve,개선하다
in,~에
incentive,자극
incident,사건
incline,경사
include,포함하다
income,소득
incorporate,포함하다
increase,증가하다
incredible,믿을 수 없는
indeed,물론
independent,독립적인
index,색인
indicate,나타내다
individual,개인
induce,유도하다
industry,산업
inevitable,불가피한
infant,유아
infect,감염시키다
infer,미루다
inflate,부풀게 하다
influence,영향
inform,알리다
informal,비공식
ingredient,재료
inhabit,거주하다
inherent,고유의
inhibit,억제하다
initial,초기의
initiate,시작하다
inject,주입하다
injure,해치다
inn,여인숙
innocent,순결한
innovate,받아 들여 쓰다
input,입력
inquire,문의
insect,곤충
insert,끼워 넣다
inside,내부에
insight,통찰력
insist,주장하다
inspect,검사하다
inspire,고무하다
install,설치하다
instance,사례
instant,즉각적인
instead,대신에
instinct,본능
institute,학회
instruct,지시하다
instrument,기구
insult,모욕
insure,안전하게 하다
integrate,통합하다
intellectual,지적인
intelligent,지능적인
intend,의도하다
intense,극심한
intent,의지
interact,상호작용하다
interest,관심
interfere,간섭하다
intermediate,중급
internal,내부
international,국제적인
interpret,해석하다
interrupt,방해하다
interval,간격
intervene,개입하다
intimate,친밀한
into,~ 안으로
intrigue,음모
introduce,소개하다
invade,침략하다
invent,꾸미다
invest,투자하다
investigate,조사하다
invite,초대하다
involve,관련시키다
iron,철
irony,반어
irritate,짜증나게 하다
island,섬
isolate,격리하다
it,그것
item,안건
jail,교도소
jar,항아리
jaw,턱
jeans,청바지
jet,제트기
job,직업
jog,가벼운 흔들림
join,가입하다
joint,관절
joke,농담
journal,신문
journey,여행
joy,기쁨
judge,판사
judicial,사법
junior,후진
jury,배심
just,단지
justice,정당성
justify,신이 옳다고 하다
keen,날카로운
keep,유지하다
key,열쇠
kick,발 차기
kid,어린이
kill,죽이다
kind,친절한
king,왕
kit,전부
kitchen,주방
knee,무릎
knife,칼
knight,기사
knock,노크
knot,매듭
know,알다
label,상표
labor,노동
laboratory,실혐실
lack,부족
ladder,사다리
lady,숙녀
lake,호수
lamb,양고기
lamp,램프
land,땅
landscape,풍경
lane,레인
language,언어
lap,무릎
large,크기가 큰
last,마지막
late,늦은
latter,후자
laugh,웃다
launch,시작하다
laundry,빨래
law,법
lawn,잔디
lawyer,변호사
lay,놓다
layer,층
lazy,게으른
lead,선두
leaf,잎
leak,새다
lean,기대다
leap,뛰다
learn,배우다
lease,임차권
leather,가죽
leave,떠나다
lecture,강의
left,왼쪽
leg,다리
legal,합법적인
legend,전설
legislate,입법하다
legitimate,정당한
leisure,여가
lend,빌려주다
lesson,수업
let,허락하다
letter,편지
level,수준
liberal,많은
liberty,자유
library,도서관
license,특허
lid,뚜껑
lie,거짓말하다
lift,승강기
light,빛
like,좋다
likely,~할 것 같은
likewise,비슷하게
limit,한계
line,선
linguistic,언어적인
link,링크
lion,사자
lip,말뿐인
liquid,액체
list,목록
listen,듣다
literal,오자
literature,문학
little,작은
live,살다
livingroom,거실
load,짐
loan,대출
local,현지의
locate,위치하고 있다
lock,잠그다
log,통나무
logic,논리
lone,고독한
long,긴
look,바라보다
loose,헐렁한
lose,잃다
loss,손실
lot,많은
loud,시끄러운
lounge,라운지
love,사랑
low,낮은
loyal,충실한
luck,운
lump,덩어리
lunch,점심
luxury,사치
machine,기계
mad,미친
magazine,잡지
magnet,자석
magnificent,웅장한
mail,우편
main,기본
maintain,유지하다
major,주요한
majority,다수
make,만들다
male,남성
man,남성
manage,관리하다
manifest,명백한
manipulate,조종하다
manner,방법
manufacture,제조
many,많은
map,지도
margin,여유
marine,선박
mark,표시
marry,결혼하다
marvel,마블
mass,대량의
master,주인
match,성냥
mate,친구
material,재료
mathematics,수학
matter,문제
mature,성숙한
maximum,최고
may,5월
maybe,아마도
mayor,시장
meal,식사
mean,평균
meantime,그 동안에
meanwhile,그 동안에
measure,측정하다
meat,고기
mechanic,정비공
mechanism,기구
mediate,중재하다
medical,의료
medicine,약
medieval,중세의
medium,중간
meet,만나다
melt,녹다
memory,메모리
mental,정신적인
mention,언급하다
merchant,상인
mere,단지
merge,병합
merit,장점
mess,엉망
metal,금속
method,방법
metropolitan,대주교
microphone,마이크로폰
microwave,마이크로파
middle,가운데
might,~할 것 같다
migrate,이주하다
mild,경증
military,군대
milk,우유
mill,밀
million,백만
mind,정신
miner,갱부
mineral,광물
minimal,최소한의
minimum,최저한의
ministry,내각
minor,미성년자
minute,분
miracle,기적
mirror,거울
miss,놓치다
missile,미사일
mission,사명
mistake,실수
mix,혼합
mobile,이동하는
mock,모조품
mode,방법
moderate,보통의
modern,현대의
modest,보통의
modify,수정하다
moisture,수분
molecule,분자
moment,순간
money,돈
monitor,감시 장치
monkey,원숭이
monster,괴물
month,월
monument,기념물
mood,분위기
moon,달
moral,도의적인
moreover,게다가
morning,아침
mortal,치명적인
mother,어머니
motion,운동
motive,동기
mount,산
mountain,산
mouse,생쥐
mouth,입
move,이동하다
movie,영화
much,많이
mud,진흙
multiple,다수의
multiply,곱하다
murder,살인
muscle,근육
museum,박물관
mushroom,버섯
music,음악
must,~ 해야 하다
mutual,상호간의
myth,신화
nail,못
naive,순진한
naked,적나라한
name,이름
nanny,여자 이름
narrate,말하다
narrow,좁은
nasty,끔찍한
nation,국가
native,토종의
nature,자연
navy,해군
near,가까운
neat,정돈된
necessary,필요한
neck,목
need,필요
needle,바늘
negative,부정적인
neglect,소홀히 하다
negotiate,협상하다
neighbor,이웃
neither,어느 것도 아니다
nephew,조카
nervous,불안한
nest,둥지
net,그물
network,회로망
neutral,중립적
never,절대
nevertheless,그럼에도 불구하고
new,새로운
newspaper,신문
next,다음
nice,멋진
night,밤
nightmare,악몽
no,아니요
noble,고귀한
nobody,아무도
nod,목례
noise,소음
nominate,지명하다
none,없음
nonetheless,그럼에도 불구하고
nonsense,무의미한 말
noon,정오
nor,...도 아니다
norm,표준
normal,정상
north,북쪽
nose,코
not,~ 아니다
note,메모
nothing,아무것도 아님
notice,알아채다
notion,개념
novel,소설
now,지금
nowadays,요즘에는
nowhere,아무데도
nuclear,핵무기
number,숫자
numerous,많은
nun,수녀
nurse,간호사
nut,너트
oak,참나무
obey,순종하다
object,물체
objective,목적
oblige,의무를 다하다
observe,관찰하다
obsess,들리다
obtain,얻다
obvious,분명한
occasion,기회
occupation,직업
occupy,점유하다
occur,발생하다
ocean,대양
odd,이상한
of,~의
off,끄다
offend,공격하다
offer,권하다
office,사무실
officer,장교
official,공식적인
often,자주
oil,기름
old,오래된
olive,올리브
on,~에
once,한 번
one,하나
only,오직
open,열려 있는
operate,작동하다
opinion,의견
opportunity,기회
oppose,대들다
optimist,낙천주의자
option,옵션
or,또는
oral,경구
orbit,궤도
orchestra,오케스트라
order,주문하다
ordinary,평범한
organ,오르간
organic,본질적인
organize,정리하다
orient,동양
